,HPSO,Baseline,Stations,Total Time [s],Tobs [h],Ingest [Pflop/s],RCAL [Pflop/s],FastImg [Pflop/s],ICAL [Pflop/s],DPrepA [Pflop/s],DPrepB [Pflop/s],DPrepC [Pflop/s],DPrepD [Pflop/s],Total RT [Pflop/s],Total Batch [Pflop/s],Total [Pflop/s],Ingest Rate [TB/s],Channels,PSS [Pflop/s],PST [Pflop/s],SinglePulse [Pflop/s]
0,hpso04b,150000.0,64.0,2880000.0,0.16666666666666666,0.008048427717485714,0.05363776631808273,0.0638115525077786,0.0,0.0,0.0,0.0,0.0,0.12549774654334706,0.0005008800000000091,0.12599862654334706,0.0058420662857142855,8192.0,0.00050088,,
1,hpso04c,150000.0,64.0,8640000.0,0.16666666666666666,0.008048427717485714,0.04509573702191637,0.06674258844616088,0.0,0.0,0.0,0.0,0.0,0.11988675318556297,0.0005008799999999952,0.12038763318556296,0.0058420662857142855,8192.0,0.00050088,,
2,hpso05b,150000.0,64.0,5760000.0,0.25,0.008048427717485714,0.05659592999401744,0.0656290745150286,0.0,0.0,0.0,0.0,0.0,0.13027343222653176,2.7550000000764463e-07,0.13027370772653177,0.0058420662857142855,8192.0,,2.755e-07,
3,hpso13,35000.0,64.0,18000000.0,8.0,0.002971243966896661,0.006739402903251594,0.004754151235347461,0.06111980573380624,0.018239416436231316,0.017896716002594154,0.07691817971023193,0.0,0.014464798105495717,0.17417411788286363,0.18863891598835936,0.0021563772811276838,8192.0,,,
4,hpso14,25000.0,64.0,7200000.0,8.0,0.0020506732151469795,0.003979624755500289,0.002777400855622199,0.020100494758867195,0.011346084328962145,0.011665130844268463,0.049389614657253424,0.0,0.008807698826269469,0.09250132458935123,0.1013090234156207,0.0014881193300476125,8192.0,,,
5,hpso15,15000.0,64.0,45360000.0,4.4,0.0011149346156220238,0.0011474042248461266,0.0008285458053840632,0.005992405635623808,0.003251959351836884,0.0039925306054444205,0.019379635078329342,0.0,0.0030908846458522136,0.032616530671234455,0.03570741531708667,0.0008088618452746505,8192.0,,,
6,hpso18,150000.0,64.0,36000000.0,0.016666666666666666,0.008048427717485714,0.05363776631808273,0.0638115525077786,0.0,0.0,0.0,0.0,0.0,0.12549774654334706,4.000000000004e-06,0.12550174654334706,0.0058420662857142855,8192.0,,,4e-06
7,hpso22,150000.0,64.0,21600000.0,8.0,0.008048427717485714,0.04135756476867122,0.06524686598884068,0.37282832053369563,0.14030423335309677,0.254213701094658,0.0,0.0,0.11465285847499762,0.7673462549814505,0.8819991134564481,0.0058420662857142855,8192.0,,,
8,hpso27and33,30000.0,64.0,36000000.0,0.12333333333333334,0.0025825238542145123,0.007285718278747671,0.006579839534844591,0.03524368560734144,0.03904148391084827,0.1921583333323002,0.0,0.0,0.01644808166780677,0.2664435028504899,0.28289158451829666,0.0018742011475718844,8192.0,,,
9,hpso32,20000.0,64.0,36000000.0,2.2,0.001620004864040465,0.006101063203537948,0.003912041807076507,0.025641759227972818,0.0,0.03582537319321904,0.0,0.0,0.01163310987465492,0.06146713242119185,0.07310024229584677,0.001175496608983574,8192.0,,,
10,hpso37a,120000.0,64.0,36000000.0,3.8,0.00804054652280602,0.04744364577823304,0.04920443061352278,0.23774738170848697,0.1612524793065103,0.2568421752791735,0.0,0.0,0.10468862291456184,0.6558420362941708,0.7605306592087326,0.005836345594921936,8192.0,,,
11,hpso37b,120000.0,64.0,7200000.0,8.0,0.00804054652280602,0.04744364577823304,0.04920443061352278,0.4291531877565135,0.1611975473774215,0.24654429166158356,0.0,0.0,0.10468862291456184,0.8368950267955186,0.9415836497100805,0.005836345594921936,8192.0,,,
12,hpso37c,120000.0,64.0,7200000.0,8.0,0.00804054652280602,0.04744364577823304,0.04920443061352278,0.4291531877565135,0.1611975473774215,0.24654429166158356,0.0,0.0,0.10468862291456184,0.8368950267955186,0.9415836497100805,0.005836345594921936,8192.0,,,
13,hpso38a,150000.0,64.0,3600000.0,8.0,0.008048427717485714,0.043391447684058435,0.06806086747294064,0.2185010400497704,0.1450603376285786,0.26317675578763977,0.0,0.0,0.11950074287448478,0.6267381334659888,0.7462388763404736,0.0058420662857142855,8192.0,,,
14,hpso38b,150000.0,64.0,3600000.0,8.0,0.008048427717485714,0.043391447684058435,0.06806086747294064,0.39114388928389404,0.1450603376285786,0.26317675578763977,0.0,0.0,0.11950074287448478,0.7993809827001125,0.9188817255745972,0.0058420662857142855,8192.0,,,
0,hpso04b,150000.0,64.0,2880000.0,0.16666666666666666,0.016095874026057142,0.06843549793359935,0.07266061107612579,0.0,0.0,0.0,0.0,0.0,0.15719198303578227,0.0005008800000000091,0.15769286303578228,0.011684132571428571,16384.0,0.00050088,,
1,hpso04c,150000.0,64.0,8640000.0,0.16666666666666666,0.016095874026057142,0.05708869342324828,0.07552636423641813,0.0,0.0,0.0,0.0,0.0,0.14871093168572355,0.0005008800000000091,0.14921181168572356,0.011684132571428571,16384.0,0.00050088,,
2,hpso05b,150000.0,64.0,5760000.0,0.25,0.016095874026057142,0.07054524462600287,0.07445398404680975,0.0,0.0,0.0,0.0,0.0,0.16109510269886976,2.7550000000764463e-07,0.16109537819886977,0.011684132571428571,16384.0,,2.755e-07,
3,hpso13,35000.0,64.0,18000000.0,8.0,0.005941653671650045,0.006739402903251594,0.004754151235347461,0.06111980573380624,0.018239416436231316,0.017896716002594154,0.07691817971023193,0.0,0.0174352078102491,0.17417411788286363,0.19160932569311273,0.0043127545622553675,16384.0,,,
4,hpso14,25000.0,64.0,7200000.0,8.0,0.004100557592287566,0.003979624755500289,0.002777400855622199,0.020100494758867195,0.011346084328962145,0.011665130844268463,0.049389614657253424,0.0,0.010857583203410055,0.09250132458935123,0.10335890779276129,0.002976238660095225,16384.0,,,
5,hpso15,15000.0,64.0,45360000.0,4.4,0.0022291418074878544,0.0011474042248461266,0.0008285458053840632,0.005992405635623808,0.003251959351836884,0.0039925306054444205,0.019379635078329342,0.0,0.0042050918377180444,0.03261653067123446,0.0368216225089525,0.001617723690549301,16384.0,,,
6,hpso18,150000.0,64.0,36000000.0,0.016666666666666666,0.016095874026057142,0.06843549793359935,0.07266061107612579,0.0,0.0,0.0,0.0,0.0,0.15719198303578227,4.000000000004e-06,0.15719598303578228,0.011684132571428571,16384.0,,,4e-06
7,hpso22,150000.0,64.0,21600000.0,8.0,0.016095874026057142,0.05149442987463337,0.07403526813639363,0.4639905884711492,0.2469622478682996,0.3566110056840855,0.0,0.0,0.14162557203708415,1.0675638420235343,1.2091894140606183,0.011684132571428571,16384.0,,,
