Pipeline,hpso,Baseline,Antenna stations,Channels,Visibility read rate,Image Spectral Fitting,IFFT,Reprojection Predict,Reprojection,Subtract Image Component,Phase Rotation Predict,Degrid,Visibility Weighting,Phase Rotation,Identify Component,Gridding Kernel Update,Subtract Visibility,Source Find,Correct,DFT,Solve,Flag,Average,Receive,Demix,FFT,Grid,Degridding Kernel Update
Ingest,hpso01,4062.5,512.0,16384.0,0.008424466403440993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001968165920577704,5.6637868218063434e-06,2.8355155335669756e-06,0.011554052833504032,0.0,0.0,0.0
Ingest_data,hpso01,4062.5,512.0,16384.0,0.008424466403440993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RCAL,hpso01,4062.5,512.0,16384.0,0.0016949868799601877,0.0,0.00013285640060213224,1.2776888375864205e-06,2.555377675172841e-07,0.0,0.0,0.00021623682575233727,1.2778264578935194e-06,0.0,0.0,0.0008157607945608611,1.4124890666334898e-07,0.0,6.779947519840751e-05,0.002494809283465694,6.851509973266979e-06,1.9704222479537183e-05,0.0,0.0,0.0,2.657128012042645e-05,0.00021623682575233727,0.0008157607945608611
RCAL_data,hpso01,4062.5,512.0,16384.0,0.0016949868799601877,0.0,0.015477940982167296,47.91333140949077,9.582666281898154,0.0,8.828056666459311,675.740080476054,9.98301920229312,8.828056666459311,0.0,0.5124786890203655,8.828056666459311,0.0,8.828056666459311,8.828056666459311,8.828056666459311,8.828056666459311,0.0,0.0,0.0,0.003095588196433459,675.740080476054,0.5124786890203655
FastImg,hpso01,4062.5,512.0,16384.0,0.006900151429875375,0.0,3.5684705359384775e-06,0.0,0.0,0.0,0.0,0.00018638242708974743,4.60010095325025e-06,0.0,0.0,0.0005824233341275331,5.750126191562812e-07,0.0,6.900151429875376e-05,0.020312324594484777,0.0,8.021426037230124e-05,0.0,0.0,0.0,3.5684705359384775e-06,0.00018638242708974743,0.0005824233341275331
FastImg_data,hpso01,4062.5,512.0,16384.0,0.006900151429875375,0.0,0.0006879084880963243,0.0,0.0,0.0,71.87657739453516,23297.80338621843,71.87657739453516,71.87657739453516,0.0,4.908125063156138,71.87657739453516,0.0,71.87657739453516,71.87657739453516,0.0,71.87657739453516,0.0,0.0,0.0,0.0006879084880963243,23297.80338621843,4.908125063156138
ICAL,hpso01,4062.5,512.0,16384.0,0.008474934399800937,0.0,0.0011957076053932824,1.1499199538277785e-05,2.2998399076555574e-06,0.00033570818,0.0,0.0019461314317737403,1.1500438121041675e-05,0.0,8.393183633314094e-05,0.007341847151060589,1.271240159970141e-06,3e-12,0.0006101952767856676,0.022453283551191243,0.00044548328105817336,0.00017733800231583462,0.0,0.0,0.0,0.00023914152107865652,0.0019461314317737403,0.007341847151060589
ICAL_data,hpso01,4062.5,512.0,16384.0,0.008474934399800937,0.0,0.015477940982167296,47.91333140949077,9.582666281898154,9.582666281898154,8.828056666459311,675.7400804769931,9.98301920229312,8.828056666459311,9.582666281898154,0.5124786890210777,8.828056666459311,9e-06,8.828056666459311,8.828056666459311,8.828056666459311,8.828056666459311,0.0,0.0,0.0,0.003095588196433459,675.7400804769931,0.5124786890210777
DPrepA,hpso01,4062.5,512.0,16384.0,0.0018846644894467406,0.0,4.223072119367288e-05,9.639627718416068e-07,9.639627718416068e-07,2.0515499888888888e-05,0.0,0.0021242185053650625,2.6048397926403535e-06,0.0,1.0258553246754313e-05,0.0016566605260026745,2.879348525543632e-07,0.0,0.0001382087292260943,0.010171300580726478,0.0,4.016691193133366e-05,0.0,0.0,0.0,4.223072119367288e-05,0.0021242185053650625,0.0016566605260026745
DPrepA_data,hpso01,4062.5,512.0,16384.0,0.0018846644894467406,0.0,0.001146514146827207,1.3144946888749183,1.3144946888749183,1.3144946888749183,3.271986960845036,120.69423325937855,3.7000565236368654,0.654397392169007,1.3144946888749183,0.4939308984346444,3.271986960845036,0.0,3.271986960845036,3.271986960845036,0.0,3.271986960845036,0.0,0.0,0.0,0.001146514146827207,120.69423325937855,0.4939308984346444
DPrepB,hpso01,4062.5,512.0,16384.0,0.003769328978893481,0.0,5.483955025723865e-05,1.9279255436832136e-06,4.819813859208033e-06,0.004103099977777778,0.0,0.000854908313934549,5.209679585280707e-06,0.0,0.0010258553246754313,0.0033385770923486575,5.758697051087264e-07,0.0,0.0002764174584521886,0.010171300580726478,0.0,8.033382386266731e-05,0.0,0.0,0.0,0.0001370988756430966,0.000854908313934549,0.0033385770923486575
DPrepB_data,hpso01,4062.5,512.0,16384.0,0.003769328978893481,0.0,0.0004586056587308828,0.5257978755499673,1.3144946888749183,1.3144946888749183,3.271986960845036,242.87168009504236,3.7000565236368654,3.271986960845036,1.3144946888749183,0.4969658612266555,3.271986960845036,0.0,3.271986960845036,3.271986960845036,0.0,3.271986960845036,0.0,0.0,0.0,0.001146514146827207,242.87168009504236,0.4969658612266555
DPrepC,hpso01,4062.5,512.0,16384.0,0.017989254762526184,0.0,5.50080046970912e-05,1.9279255436832136e-06,1.4459441577624101e-05,0.012309299933333333,0.0,0.002099060332302811,1.2792102730795745e-05,0.0,0.003077565974026294,0.008142433333673735,2.7483583664970552e-06,0.0,0.0013192120159185867,0.04854288878404897,0.0,0.00038339599212633917,0.0,0.0,0.0,0.000412560035228184,0.002099060332302811,0.008142433333673735
DPrepC_data,hpso01,4062.5,512.0,16384.0,0.017989254762526184,0.0,0.00015286855291029422,0.17526595851665575,1.3144946888749183,1.3144946888749183,15.615672536915088,596.3239580405715,9.08530023494016,15.615672536915088,1.3144946888749183,0.49693663170047614,15.615672536915088,0.0,15.615672536915088,15.615672536915088,0.0,15.615672536915088,0.0,0.0,0.0,0.001146514146827207,596.3239580405715,0.49693663170047614
DPrepD,hpso01,4062.5,512.0,16384.0,0.09824531667640964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00720465655627004,0.0,0.0,0.002093853311665981,0.0,0.0,0.0,0.0,0.0,0.0
DPrepD_data,hpso01,4062.5,512.0,16384.0,0.09824531667640964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.28239294827226,0.0,0.0,85.28239294827226,0.0,0.0,0.0,0.0,0.0,0.0
Ingest,hpso02a,4062.5,512.0,16384.0,0.008424466403440993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001968165920577704,5.6637868218063434e-06,2.8355155335669756e-06,0.011554052833504032,0.0,0.0,0.0
Ingest_data,hpso02a,4062.5,512.0,16384.0,0.008424466403440993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RCAL,hpso02a,4062.5,512.0,16384.0,0.0016949868799601877,0.0,0.00013285640060213224,1.2776888375864205e-06,2.555377675172841e-07,0.0,0.0,0.00021623682575233727,1.2778264578935194e-06,0.0,0.0,0.0008157607945608611,1.4124890666334898e-07,0.0,6.779947519840751e-05,0.002494809283465694,6.851509973266979e-06,1.9704222479537183e-05,0.0,0.0,0.0,2.657128012042645e-05,0.00021623682575233727,0.0008157607945608611
RCAL_data,hpso02a,4062.5,512.0,16384.0,0.0016949868799601877,0.0,0.015477940982167296,47.91333140949077,9.582666281898154,0.0,8.828056666459311,675.740080476054,9.98301920229312,8.828056666459311,0.0,0.5124786890203655,8.828056666459311,0.0,8.828056666459311,8.828056666459311,8.828056666459311,8.828056666459311,0.0,0.0,0.0,0.003095588196433459,675.740080476054,0.5124786890203655
FastImg,hpso02a,4062.5,512.0,16384.0,0.006900151429875375,0.0,3.5684705359384775e-06,0.0,0.0,0.0,0.0,0.00018638242708974743,4.60010095325025e-06,0.0,0.0,0.0005824233341275331,5.750126191562812e-07,0.0,6.900151429875376e-05,0.020312324594484777,0.0,8.021426037230124e-05,0.0,0.0,0.0,3.5684705359384775e-06,0.00018638242708974743,0.0005824233341275331
FastImg_data,hpso02a,4062.5,512.0,16384.0,0.006900151429875375,0.0,0.0006879084880963243,0.0,0.0,0.0,71.87657739453516,23297.80338621843,71.87657739453516,71.87657739453516,0.0,4.908125063156138,71.87657739453516,0.0,71.87657739453516,71.87657739453516,0.0,71.87657739453516,0.0,0.0,0.0,0.0006879084880963243,23297.80338621843,4.908125063156138
ICAL,hpso02a,4062.5,512.0,16384.0,0.00565114387832509,0.0,0.00037332080290693734,5.110755350345682e-06,1.0221510700691364e-06,0.00033570818,0.0,0.0012680630516093909,7.66857032985502e-06,0.0,8.392917448139598e-05,0.004862772056901641,8.476715817487635e-07,3e-12,0.0004068823592394065,0.014972002130375446,0.0003250015521418705,0.00011825018565395251,0.0,0.0,0.0,7.466416058138749e-05,0.0012680630516093909,0.004862772056901641
ICAL_data,hpso02a,4062.5,512.0,16384.0,0.00565114387832509,0.0,0.010318627321444862,21.29481395977367,4.258962791954734,4.258962791954734,5.886608206588635,440.29967069770515,6.656745077999149,5.886608206588635,4.258962791954734,0.5007771133842076,5.886608206588635,9e-06,5.886608206588635,5.886608206588635,5.886608206588635,5.886608206588635,0.0,0.0,0.0,0.0020637254642889725,440.29967069770515,0.5007771133842076
DPrepA,hpso02a,4062.5,512.0,16384.0,0.0018846644894467406,0.0,4.223072119367288e-05,9.639627718416068e-07,9.639627718416068e-07,2.0515499888888888e-05,0.0,0.0021242185053650625,2.6048397926403535e-06,0.0,1.0258553246754313e-05,0.0016566605260026745,2.879348525543632e-07,0.0,0.0001382087292260943,0.010171300580726478,0.0,4.016691193133366e-05,0.0,0.0,0.0,4.223072119367288e-05,0.0021242185053650625,0.0016566605260026745
DPrepA_data,hpso02a,4062.5,512.0,16384.0,0.0018846644894467406,0.0,0.001146514146827207,1.3144946888749183,1.3144946888749183,1.3144946888749183,3.271986960845036,120.69423325937855,3.7000565236368654,0.654397392169007,1.3144946888749183,0.4939308984346444,3.271986960845036,0.0,3.271986960845036,3.271986960845036,0.0,3.271986960845036,0.0,0.0,0.0,0.001146514146827207,120.69423325937855,0.4939308984346444
DPrepB,hpso02a,4062.5,512.0,16384.0,0.003769328978893481,0.0,5.483955025723865e-05,1.9279255436832136e-06,4.819813859208033e-06,0.004103099977777778,0.0,0.000854908313934549,5.209679585280707e-06,0.0,0.0010258553246754313,0.0033385770923486575,5.758697051087264e-07,0.0,0.0002764174584521886,0.010171300580726478,0.0,8.033382386266731e-05,0.0,0.0,0.0,0.0001370988756430966,0.000854908313934549,0.0033385770923486575
DPrepB_data,hpso02a,4062.5,512.0,16384.0,0.003769328978893481,0.0,0.0004586056587308828,0.5257978755499673,1.3144946888749183,1.3144946888749183,3.271986960845036,242.87168009504236,3.7000565236368654,3.271986960845036,1.3144946888749183,0.4969658612266555,3.271986960845036,0.0,3.271986960845036,3.271986960845036,0.0,3.271986960845036,0.0,0.0,0.0,0.001146514146827207,242.87168009504236,0.4969658612266555
DPrepC,hpso02a,4062.5,512.0,16384.0,0.017989254762526184,0.0,5.50080046970912e-05,1.9279255436832136e-06,1.4459441577624101e-05,0.012309299933333333,0.0,0.002099060332302811,1.2792102730795745e-05,0.0,0.003077565974026294,0.008142433333673735,2.7483583664970552e-06,0.0,0.0013192120159185867,0.04854288878404897,0.0,0.00038339599212633917,0.0,0.0,0.0,0.000412560035228184,0.002099060332302811,0.008142433333673735
DPrepC_data,hpso02a,4062.5,512.0,16384.0,0.017989254762526184,0.0,0.00015286855291029422,0.17526595851665575,1.3144946888749183,1.3144946888749183,15.615672536915088,596.3239580405715,9.08530023494016,15.615672536915088,1.3144946888749183,0.49693663170047614,15.615672536915088,0.0,15.615672536915088,15.615672536915088,0.0,15.615672536915088,0.0,0.0,0.0,0.001146514146827207,596.3239580405715,0.49693663170047614
DPrepD,hpso02a,4062.5,512.0,16384.0,0.09824531667640964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00720465655627004,0.0,0.0,0.002093853311665981,0.0,0.0,0.0,0.0,0.0,0.0
DPrepD_data,hpso02a,4062.5,512.0,16384.0,0.09824531667640964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.28239294827226,0.0,0.0,85.28239294827226,0.0,0.0,0.0,0.0,0.0,0.0
Ingest,hpso02b,4062.5,512.0,16384.0,0.008424466403440993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001968165920577704,5.6637868218063434e-06,2.8355155335669756e-06,0.011554052833504032,0.0,0.0,0.0
Ingest_data,hpso02b,4062.5,512.0,16384.0,0.008424466403440993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RCAL,hpso02b,4062.5,512.0,16384.0,0.0016949868799601877,0.0,0.00013285640060213224,1.2776888375864205e-06,2.555377675172841e-07,0.0,0.0,0.00021623682575233727,1.2778264578935194e-06,0.0,0.0,0.0008157607945608611,1.4124890666334898e-07,0.0,6.779947519840751e-05,0.002494809283465694,6.851509973266979e-06,1.9704222479537183e-05,0.0,0.0,0.0,2.657128012042645e-05,0.00021623682575233727,0.0008157607945608611
RCAL_data,hpso02b,4062.5,512.0,16384.0,0.0016949868799601877,0.0,0.015477940982167296,47.91333140949077,9.582666281898154,0.0,8.828056666459311,675.740080476054,9.98301920229312,8.828056666459311,0.0,0.5124786890203655,8.828056666459311,0.0,8.828056666459311,8.828056666459311,8.828056666459311,8.828056666459311,0.0,0.0,0.0,0.003095588196433459,675.740080476054,0.5124786890203655
FastImg,hpso02b,4062.5,512.0,16384.0,0.006900151429875375,0.0,3.5684705359384775e-06,0.0,0.0,0.0,0.0,0.00018638242708974743,4.60010095325025e-06,0.0,0.0,0.0005824233341275331,5.750126191562812e-07,0.0,6.900151429875376e-05,0.020312324594484777,0.0,8.021426037230124e-05,0.0,0.0,0.0,3.5684705359384775e-06,0.00018638242708974743,0.0005824233341275331
FastImg_data,hpso02b,4062.5,512.0,16384.0,0.006900151429875375,0.0,0.0006879084880963243,0.0,0.0,0.0,71.87657739453516,23297.80338621843,71.87657739453516,71.87657739453516,0.0,4.908125063156138,71.87657739453516,0.0,71.87657739453516,71.87657739453516,0.0,71.87657739453516,0.0,0.0,0.0,0.0006879084880963243,23297.80338621843,4.908125063156138
ICAL,hpso02b,4062.5,512.0,16384.0,0.00565114387832509,0.0,0.00037332080290693734,5.110755350345682e-06,1.0221510700691364e-06,0.00033570818,0.0,0.0012680630516093909,7.66857032985502e-06,0.0,8.392917448139598e-05,0.004862772056901641,8.476715817487635e-07,3e-12,0.0004068823592394065,0.014972002130375446,0.0003250015521418705,0.00011825018565395251,0.0,0.0,0.0,7.466416058138749e-05,0.0012680630516093909,0.004862772056901641
ICAL_data,hpso02b,4062.5,512.0,16384.0,0.00565114387832509,0.0,0.010318627321444862,21.29481395977367,4.258962791954734,4.258962791954734,5.886608206588635,440.29967069770515,6.656745077999149,5.886608206588635,4.258962791954734,0.5007771133842076,5.886608206588635,9e-06,5.886608206588635,5.886608206588635,5.886608206588635,5.886608206588635,0.0,0.0,0.0,0.0020637254642889725,440.29967069770515,0.5007771133842076
DPrepA,hpso02b,4062.5,512.0,16384.0,0.0018846644894467406,0.0,4.223072119367288e-05,9.639627718416068e-07,9.639627718416068e-07,2.0515499888888888e-05,0.0,0.0021242185053650625,2.6048397926403535e-06,0.0,1.0258553246754313e-05,0.0016566605260026745,2.879348525543632e-07,0.0,0.0001382087292260943,0.010171300580726478,0.0,4.016691193133366e-05,0.0,0.0,0.0,4.223072119367288e-05,0.0021242185053650625,0.0016566605260026745
DPrepA_data,hpso02b,4062.5,512.0,16384.0,0.0018846644894467406,0.0,0.001146514146827207,1.3144946888749183,1.3144946888749183,1.3144946888749183,3.271986960845036,120.69423325937855,3.7000565236368654,0.654397392169007,1.3144946888749183,0.4939308984346444,3.271986960845036,0.0,3.271986960845036,3.271986960845036,0.0,3.271986960845036,0.0,0.0,0.0,0.001146514146827207,120.69423325937855,0.4939308984346444
DPrepB,hpso02b,4062.5,512.0,16384.0,0.003769328978893481,0.0,5.483955025723865e-05,1.9279255436832136e-06,4.819813859208033e-06,0.004103099977777778,0.0,0.000854908313934549,5.209679585280707e-06,0.0,0.0010258553246754313,0.0033385770923486575,5.758697051087264e-07,0.0,0.0002764174584521886,0.010171300580726478,0.0,8.033382386266731e-05,0.0,0.0,0.0,0.0001370988756430966,0.000854908313934549,0.0033385770923486575
