Pipeline,hpso,Baseline,Image Spectral Fitting,IFFT,Reprojection Predict,Reprojection,Subtract Image Component,Phase Rotation Predict,Degrid,Visibility Weighting,Phase Rotation,Identify Component,Gridding Kernel Update,Subtract Visibility,Source Find,Correct,DFT,Solve,Flag,Average,Receive,Demix,FFT,Grid,Degridding Kernel Update
Ingest,hpso05b,150000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.010152151800685712,0.00029214825325714285,0.0001461304123428571,0.5930699847811198,-1.0,-1.0,-1.0
Ingest_data,hpso05b,150000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.4382223798857142,0.43379589119999995,0.4382223798857142,0.4382223798857142,-1.0,-1.0,-1.0
RCAL,hpso05b,150000.0,-1.0,0.0844410300164273,0.00860904679780637,0.0017218093595612737,-1.0,0.0495973302272,0.03609605459329583,0.00011819317441855313,0.0495973302272,-1.0,0.024943911159001703,7.22993152e-05,-1.0,0.0011567890432,0.6082010209133714,0.00144628435712,0.010085754470399997,-1.0,-1.0,-1.0,0.016888206003285458,0.03609605459329583,0.024943911159001703
RCAL_data,hpso05b,150000.0,-1.0,1.3775011512637643,1.377447487649019,0.27548949752980384,-1.0,21.255998668799997,0.08864488081391486,0.011113176835337557,0.08864488081391486,-1.0,49.41729976533591,0.43379589119999995,-1.0,0.43379589119999995,0.43379589119999995,5.0432e-08,0.43379589119999995,-1.0,-1.0,-1.0,0.27548949752980384,614.2000255662614,49.41729976533591
FastImg,hpso05b,150000.0,-1.0,0.028381670303510163,-1.0,-1.0,-1.0,0.0,0.001150434443237754,1.2204424483870182e-05,0.0,-1.0,0.0001311677319314034,2.9176873260306836e-05,-1.0,0.00011670749304122734,0.49088719733762193,-1.0,0.004070173819812803,-1.0,-1.0,-1.0,0.028381670303510163,0.001150434443237754,0.0001311677319314034
FastImg_data,hpso05b,150000.0,-1.0,2.834339270153661,-1.0,-1.0,-1.0,0.0,0.009153318362902637,0.0005480784024310528,0.0,-1.0,0.5977785207790223,0.175061239561841,-1.0,0.175061239561841,0.175061239561841,-1.0,0.175061239561841,-1.0,-1.0,-1.0,2.8342540898127955,17678.500612587424,0.5977785207790223
PST,hpso05b,150000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
PST_data,hpso05b,150000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Ingest,hpso13,35000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.002279090026974378,6.558532451724828e-05,3.281687534248379e-05,0.133145930085948,-1.0,-1.0,-1.0
Ingest_data,hpso13,35000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.09837798677587244,0.09721575875060923,0.09837798677587244,0.09837798677587244,-1.0,-1.0,-1.0
RCAL,hpso13,35000.0,-1.0,0.0033567359812045807,0.0004493405633972716,8.986811267945434e-05,-1.0,0.0010797531757571013,0.0012011109261346332,4.718896875878758e-06,0.0010797531757571013,-1.0,0.0021040123803170445,3.0850090735917176e-06,-1.0,4.936014517746748e-05,0.030405360421578927,6.199823459183435e-05,0.00043035876576604464,-1.0,-1.0,-1.0,0.0006713471962409161,0.0012011109261346332,0.0021040123803170445
RCAL_data,hpso13,35000.0,-1.0,0.07190324728100406,0.07189449014356346,0.014378898028712693,-1.0,0.46275136103875764,0.003539172656909069,0.0031730816065884265,0.003539172656909069,-1.0,6.856143066234542,0.018510054441550305,-1.0,0.018510054441550305,0.018510054441550305,5.0432e-08,0.018510054441550305,-1.0,-1.0,-1.0,0.014378898028712693,1.8307930988919254,6.856143066234542
FastImg,hpso13,35000.0,-1.0,0.0012844209856052518,-1.0,-1.0,-1.0,0.0,2.7217152459782768e-05,6.330681563401834e-07,0.0,-1.0,2.3246675282548724e-05,9.580693470395493e-07,-1.0,3.832277388158197e-06,0.018885159239865175,-1.0,0.00013365067391201714,-1.0,-1.0,-1.0,0.0012844209856052518,2.7217152459782768e-05,2.3246675282548724e-05
FastImg_data,hpso13,35000.0,-1.0,0.14795050998353756,-1.0,-1.0,-1.0,0.0,0.0004748011172551376,0.00034104513031032584,0.0,-1.0,0.0020874850978425184,0.005748416082237296,-1.0,0.005748416082237296,0.005748416082237296,-1.0,0.005748416082237296,-1.0,-1.0,-1.0,0.14793104967811405,37.63942075496002,0.0020874850978425184
ICAL,hpso13,35000.0,-1.0,0.030210623830983996,0.004044065070575445,0.000808813014115089,2.098176125e-05,0.009717778581813913,0.010809998335185861,4.247007188290883e-05,0.009717778581813913,0.00013134663620159245,0.018936111422793216,2.7765081662325457e-05,1.875e-12,0.0004442413065972073,0.2736482437942103,0.0007409784136940122,0.003873228891894402,-1.0,-1.0,-1.0,0.006042124766196798,0.010809998335185861,0.018936111422793216
ICAL_data,hpso13,35000.0,-1.0,0.6471292255290365,0.6470504112920712,0.12941008225841424,8.425135563698844e-05,4.164762249348819,0.03185255391218162,0.028557734459295842,0.03185255391218162,1.25e-09,61.70528759578713,0.16659048997395276,1.44e-08,0.16659048997395276,0.16659048997395276,9.750186666666666e-08,0.16659048997395276,-1.0,-1.0,-1.0,0.12941008225841424,16.477137890027333,61.70528759578713
DPrepA,hpso13,35000.0,-1.0,0.003614069512036861,0.0002354226774391283,0.0002354226774391283,1.2822187430555555e-06,0.0,0.004147011173877579,2.8577600963559364e-06,0.0,6.656325670943537e-07,0.0008747782950572238,6.2844070924039325e-06,-1.0,0.00010055051347846292,0.12387624031069973,-1.0,0.0008766747893903488,-1.0,-1.0,-1.0,0.003614069512036861,0.004147011173877579,0.0008747782950572238
DPrepA_data,hpso13,35000.0,-1.0,0.03767060149247802,0.037667628390260534,0.037667628390260534,9.809278226630347e-06,0.0,0.010716600361334762,0.001179880163503876,0.0,6.111111111111111e-12,3.8199050278985403,0.0377064425544236,-1.0,0.0377064425544236,0.0377064425544236,-1.0,0.0377064425544236,-1.0,-1.0,-1.0,0.037667628390260534,7.400681383426005,3.8199050278985403
DPrepB,hpso13,35000.0,-1.0,0.002214810736588568,0.00018833814195130265,0.00018833814195130265,0.00020515499888888887,0.0,0.0010107134981918455,2.8577600963559364e-06,0.0,0.00010650121073509657,0.0011670597484357604,6.2844070924039325e-06,-1.0,0.00010055051347846292,0.12387624031069973,-1.0,0.0008766747893903488,-1.0,-1.0,-1.0,0.002214810736588568,0.0010107134981918455,0.0011670597484357604
DPrepB_data,hpso13,35000.0,-1.0,0.030136481193982413,0.030134102712208427,0.030134102712208427,0.0015694845162608554,0.0,0.0021433200722669526,0.001179880163503876,0.0,9.777777777777778e-10,7.705070638629131,0.0377064425544236,-1.0,0.0377064425544236,0.0377064425544236,-1.0,0.0377064425544236,-1.0,-1.0,-1.0,0.030134102712208427,1.4801362766852009,7.705070638629131
DPrepC,hpso13,35000.0,-1.0,0.001521722816850488,0.0002354226774391283,0.003766762839026053,0.004103099977777778,0.0,0.007609079566921313,1.3558466464297938e-05,0.0,0.0021300242147019315,0.008485098345300868,2.087073075222101e-05,-1.0,0.0003339316920355362,0.41139722810876495,-1.0,0.002911466939934831,-1.0,-1.0,-1.0,0.024347565069607807,0.007609079566921313,0.008485098345300868
DPrepC_data,hpso13,35000.0,-1.0,0.03767060149247802,0.037667628390260534,0.6026820542441685,0.03138969032521711,0.0,0.010168849848223454,0.002150194644059005,0.0,1.9555555555555553e-08,34.50614327569815,0.12522438451332607,-1.0,0.12522438451332607,0.12522438451332607,-1.0,0.12522438451332607,-1.0,-1.0,-1.0,0.6026820542441685,4.070760401343558,34.50614327569815
Ingest,hpso14,25000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0025733289419427987,7.405263142281436e-05,3.704394881747814e-05,0.15033414857608937,-1.0,-1.0,-1.0
Ingest_data,hpso14,25000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.11107894713422153,0.10969222324686183,0.11107894713422153,0.11107894713422153,-1.0,-1.0,-1.0
RCAL,hpso14,25000.0,-1.0,0.0012993082501308996,0.0002477117184551815,4.954234369103629e-05,-1.0,0.0006552083636709417,0.0006855657079461482,3.2601592400435046e-06,0.0006552083636709417,-1.0,0.0015866158206014832,1.8720238962026904e-06,-1.0,2.9952382339243047e-05,0.019510328540007105,3.773853104405381e-05,0.00026114733352027535,-1.0,-1.0,-1.0,0.0002598616500261799,0.0006855657079461482,0.0015866158206014832
RCAL_data,hpso14,25000.0,-1.0,0.03964037696277082,0.03963387495282903,0.007926774990565807,-1.0,0.2808035844304035,0.0024451194300326284,0.002557105981241117,0.0024451194300326284,-1.0,2.8347526384730317,0.011232143377216142,-1.0,0.011232143377216142,0.011232143377216142,5.0432e-08,0.011232143377216142,-1.0,-1.0,-1.0,0.007926774990565807,0.7981393164975986,2.8347526384730317
FastImg,hpso14,25000.0,-1.0,0.0006861783066683572,-1.0,-1.0,-1.0,0.0,2.2090288583340205e-05,5.395127638965976e-07,0.0,-1.0,2.5954972299825457e-05,5.813718730154902e-07,-1.0,2.325487492061961e-06,0.012118174633838526,-1.0,8.110137628566088e-05,-1.0,-1.0,-1.0,0.0006861783066683572,2.2090288583340205e-05,2.5954972299825457e-05
FastImg_data,hpso14,25000.0,-1.0,0.08156563194149415,-1.0,-1.0,-1.0,0.0,0.0004046345729224482,0.0003097205464372464,0.0,-1.0,0.00024387747498217947,0.003488231238092941,-1.0,0.003488231238092941,0.003488231238092941,-1.0,0.003488231238092941,-1.0,-1.0,-1.0,0.08155118303051241,16.408820086415083,0.00024387747498217947
ICAL,hpso14,25000.0,-1.0,0.00584791087758091,0.000990846873820726,0.00019816937476414517,2.098176125e-05,0.0014152618303325008,0.0031295140138143424,1.4213547694941707e-05,0.0014152618303325008,4.72605694205115e-05,0.006189911755985656,1.123223674867064e-05,1.875e-12,0.00017971578797873025,0.11706294436210439,0.00030010254932988383,0.0015668970264395544,-1.0,-1.0,-1.0,0.0011695821755161818,0.0031295140138143424,0.006189911755985656
ICAL_data,hpso14,25000.0,-1.0,0.15855890704710654,0.15853549981131615,0.03170709996226323,2.0642643204598456e-05,0.6065407844282146,0.010660160771206281,0.009538848033956828,0.010660160771206281,4.5e-10,13.99992873692933,0.06739342049202385,1.44e-08,0.06739342049202385,0.06739342049202385,9.750186666666666e-08,0.06739342049202385,-1.0,-1.0,-1.0,0.03170709996226323,3.547178531760284,13.99992873692933
DPrepA,hpso14,25000.0,-1.0,0.001424057661424152,0.00012978342206823446,0.00012978342206823446,1.2822187430555555e-06,0.0,0.0022623124051867794,1.9727142908993607e-06,0.0,6.546284779932189e-07,0.0006555999142753311,3.813489790718346e-06,-1.0,6.101583665149353e-05,0.0794887702574733,-1.0,0.0005319818258052092,-1.0,-1.0,-1.0,0.001424057661424152,0.0022623124051867794,0.0006555999142753311
DPrepA_data,hpso14,25000.0,-1.0,0.02076755500342861,0.020765347530917515,0.020765347530917515,5.407642586176435e-06,0.0,0.007397678590872602,0.0009291126294408465,0.0,6.111111111111111e-12,1.479684898475644,0.022880938744310075,-1.0,0.022880938744310075,0.022880938744310075,-1.0,0.022880938744310075,-1.0,-1.0,-1.0,0.020765347530917515,3.2262656237758414,1.479684898475644
DPrepB,hpso14,25000.0,-1.0,0.0008252294907138019,0.00012978342206823446,0.00019467513310235168,0.00038466562291666667,0.0,0.0006136089803740587,1.9727142908993607e-06,0.0,0.00019638854339796568,0.0009895114618278234,3.813489790718346e-06,-1.0,6.101583665149353e-05,0.0794887702574733,-1.0,0.0005319818258052092,-1.0,-1.0,-1.0,0.001237844236070703,0.0006136089803740587,0.0009895114618278234
DPrepB_data,hpso14,25000.0,-1.0,0.02076755500342861,0.020765347530917515,0.03114802129637627,0.0016222927758529307,0.0,0.0014795357181745204,0.0009291126294408465,0.0,1.8333333333333334e-09,4.821366662509454,0.022880938744310075,-1.0,0.022880938744310075,0.022880938744310075,-1.0,0.022880938744310075,-1.0,-1.0,-1.0,0.03114802129637627,0.6452531247551684,4.821366662509454
DPrepC,hpso14,25000.0,-1.0,0.0003029879202475716,9.63315530428363e-05,0.002408288826070907,0.006411093715277778,0.0,0.004988956602893282,1.3096773859176704e-05,0.0,0.003255719541515366,0.002104495654039545,1.2976410117915759e-05,-1.0,0.00020762256188665214,0.27048161637675666,-1.0,0.0018102092114492482,-1.0,-1.0,-1.0,0.007574698006189292,0.004988956602893282,0.002104495654039545
DPrepC_data,hpso14,25000.0,-1.0,0.01541495030932491,0.01541304848685381,0.3853262121713452,0.020069073550590892,0.0,0.009822580394382528,0.0015716128631012044,0.0,3.0555555555555556e-08,4.391752922810486,0.07785846070749454,-1.0,0.07785846070749454,0.07785846070749454,-1.0,0.07785846070749454,-1.0,-1.0,-1.0,0.3853262121713452,1.926868788665614,4.391752922810486
Ingest,hpso15,15000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0013957169918481806,4.016451775102678e-05,2.0092624982502403e-05,0.08154071230405893,-1.0,-1.0,-1.0
Ingest_data,hpso15,15000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.06024677662654016,0.05943155280138176,0.06024677662654016,0.06024677662654016,-1.0,-1.0,-1.0
RCAL,hpso15,15000.0,-1.0,0.0002765387469650519,8.21848031021863e-05,1.643696062043726e-05,-1.0,0.00017051644892945435,0.00022094745083148606,1.129952542539525e-06,0.00017051644892945435,-1.0,0.0007544374890193415,4.871898540841553e-07,-1.0,7.795037665346484e-06,0.005509308072707665,1.0041850201683108e-05,6.796298464473968e-05,-1.0,-1.0,-1.0,5.5307749393010385e-05,0.00022094745083148606,0.0007544374890193415
RCAL_data,hpso15,15000.0,-1.0,0.013153313654076279,0.013149568496349807,0.002629913699269961,-1.0,0.07307847811262329,0.0008474644069046438,0.0018249600904115665,0.0008474644069046438,-1.0,1.4737688391375023,0.002923139124504932,-1.0,0.002923139124504932,0.002923139124504932,5.0432e-08,0.002923139124504932,-1.0,-1.0,-1.0,0.002629913699269961,0.12721501056283363,1.4737688391375023
FastImg,hpso15,15000.0,-1.0,0.0002141991858668415,-1.0,-1.0,-1.0,0.0,1.1597122420779512e-05,2.86000523269704e-07,0.0,-1.0,1.905213885444948e-05,1.5130258752936486e-07,-1.0,6.052103501174594e-07,0.003421961930894808,-1.0,2.11067109603464e-05,-1.0,-1.0,-1.0,0.0002141991858668415,1.1597122420779512e-05,1.905213885444948e-05
FastImg_data,hpso15,15000.0,-1.0,0.027065047873856767,-1.0,-1.0,-1.0,0.0,0.000214500392452278,0.00027574501428765725,0.0,-1.0,1.3796316352365719e-05,0.0009078155251761892,-1.0,0.0009078155251761892,0.0009078155251761892,-1.0,0.0009078155251761892,-1.0,-1.0,-1.0,0.027056725301131283,2.615353256425667,1.3796316352365719e-05
ICAL,hpso15,15000.0,-1.0,0.003408487740643248,0.00022829111972829533,4.5658223945659064e-05,3.814865681818181e-05,0.0,0.0009794258868328297,3.7476126836127177e-06,0.0,9.55878268179245e-06,0.0017415438389311265,2.923180458271368e-06,3.409090909090909e-12,4.6770887332341895e-05,0.03305631585249284,7.852771491923651e-05,0.00040778367392885586,-1.0,-1.0,-1.0,0.0006816975481286497,0.0009794258868328297,0.0017415438389311265
ICAL_data,hpso15,15000.0,-1.0,0.03653032431425371,0.036526579156527246,0.0073053158313054496,8.64739089879906e-06,0.0,0.0028107095127095387,0.0020615475102808787,0.0,9.090909090909091e-11,3.4855598210978624,0.01753908274962821,1.44e-08,0.01753908274962821,0.01753908274962821,9.750186666666666e-08,0.01753908274962821,-1.0,-1.0,-1.0,0.0073053158313054496,0.9813000364283198,3.4855598210978624
DPrepA,hpso15,15000.0,-1.0,0.00033803711269155267,4.305902464011056e-05,4.305902464011056e-05,2.331306805555555e-06,0.0,0.0006537967356927551,6.454008361422842e-07,0.0,1.1738085210808287e-06,0.0003402176201814116,9.92471488730248e-07,-1.0,1.5879543819683968e-05,0.022446408269615806,-1.0,0.0001384497726778696,-1.0,-1.0,-1.0,0.00033803711269155267,0.0006537967356927551,0.0003402176201814116
DPrepA_data,hpso15,15000.0,-1.0,0.006890715446584083,0.0068894439424176885,0.0068894439424176885,3.2620473212204957e-06,0.0,0.002420253135533566,0.0006391529939636808,0.0,1.111111111111111e-11,0.49012603622837,0.0059548289323814885,-1.0,0.005954828932381489,0.0059548289323814885,-1.0,0.005954828932381489,-1.0,-1.0,-1.0,0.0068894439424176885,0.5142019047342816,0.49012603622837
DPrepB,hpso15,15000.0,-1.0,0.0002514274677730141,4.305902464011056e-05,5.5976732032143724e-05,0.0006061397694444443,0.0,0.00014547480693948413,6.454008361422842e-07,0.0,0.00030519021548101546,0.0003936586353265412,9.92471488730248e-07,-1.0,1.5879543819683968e-05,0.022446408269615806,-1.0,0.0001384497726778696,-1.0,-1.0,-1.0,0.00032685570810491826,0.00014547480693948413,0.0003936586353265412
DPrepB_data,hpso15,15000.0,-1.0,0.006890715446584083,0.0068894439424176885,0.008956277125142995,0.0008481323035173288,0.0,0.00048405062710671316,0.0006391529939636808,0.0,2.888888888888888e-09,1.0086848191208133,0.0059548289323814885,-1.0,0.005954828932381489,0.0059548289323814885,-1.0,0.005954828932381489,-1.0,-1.0,-1.0,0.008956277125142995,0.10284038094685634,1.0086848191208133
DPrepC,hpso15,15000.0,-1.0,7.506953310812337e-05,3.0326238417338664e-05,0.0003790779802167333,0.005828267013888888,0.0,0.001231055378955124,4.446026543227817e-06,0.0,0.0029284925213465926,0.001409483498645608,3.469501342484697e-06,-1.0,5.5512021479755156e-05,0.07846859532965252,-1.0,0.0004839954372766153,-1.0,-1.0,-1.0,0.0009383691638515421,0.001231055378955124,0.001409483498645608
DPrepC_data,hpso15,15000.0,-1.0,0.004853265221825489,0.004852198146774187,0.06065247683467733,0.005743605760859595,0.0,0.003334519907420862,0.001067046370374676,0.0,2.7777777777777774e-08,1.8750156802020523,0.020817008054908184,-1.0,0.020817008054908187,0.020817008054908184,-1.0,0.020817008054908187,-1.0,-1.0,-1.0,0.06065247683467733,0.2426632610912744,1.8750156802020523
Ingest,hpso18,150000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.010152151800685712,0.00029214825325714285,0.0001461304123428571,0.5930699847811198,-1.0,-1.0,-1.0
Ingest_data,hpso18,150000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.4382223798857142,0.43379589119999995,0.4382223798857142,0.4382223798857142,-1.0,-1.0,-1.0
RCAL,hpso18,150000.0,-1.0,0.0923540352713025,0.008341406297764633,0.0016682812595529264,-1.0,0.0495973302272,0.028766341965449277,7.216199398503653e-05,0.0495973302272,-1.0,0.022993553121011163,7.22993152e-05,-1.0,0.0011567890432,0.6082010209133714,0.00144628435712,0.010085754470399997,-1.0,-1.0,-1.0,0.018470807054260505,0.028766341965449277,0.022993553121011163
RCAL_data,hpso18,150000.0,-1.0,1.3346778305163263,1.3346250076423414,0.26692500152846826,-1.0,21.255998668799997,0.05412149548877739,0.011106300594554233,0.05412149548877739,-1.0,75.77277625131914,0.43379589119999995,-1.0,0.43379589119999995,0.43379589119999995,5.0432e-08,0.43379589119999995,-1.0,-1.0,-1.0,0.26692500152846826,363.376536118223,75.77277625131914
FastImg,hpso18,150000.0,-1.0,0.027460232148650246,-1.0,-1.0,-1.0,0.0,0.0010969526589620366,7.452119583806716e-06,0.0,-1.0,0.00011756433550093637,1.781563064940069e-05,-1.0,7.126252259760276e-05,0.29973962323729036,-1.0,0.002485280475591397,-1.0,-1.0,-1.0,0.027460232148650246,0.0010969526589620366,0.00011756433550093637
FastImg_data,hpso18,150000.0,-1.0,2.746225836865347,-1.0,-1.0,-1.0,0.0,0.005589089687855037,0.0005480784024310528,0.0,-1.0,1.3185941881018757,0.10689378389640417,-1.0,0.10689378389640417,0.10689378389640417,-1.0,0.10689378389640417,-1.0,-1.0,-1.0,2.7461419910336264,10459.052069766714,1.3185941881018757
SinglePulse,hpso18,150000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
SinglePulse_data,hpso18,150000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Ingest,hpso22,150000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.010152151800685712,0.00029214825325714285,0.0001461304123428571,0.5930699847811198,-1.0,-1.0,-1.0
Ingest_data,hpso22,150000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.4382223798857142,0.43379589119999995,0.4382223798857142,0.4382223798857142,-1.0,-1.0,-1.0
