,HPSO,Stations,Total Time [s],Tobs [h],Ingest [Pflop/s],RCAL [Pflop/s],FastImg [Pflop/s],ICAL [Pflop/s],DPrepA [Pflop/s],DPrepB [Pflop/s],DPrepC [Pflop/s],DPrepD [Pflop/s],Total RT [Pflop/s],Total Batch [Pflop/s],Total [Pflop/s],Ingest Rate [TB/s],Ingest) [Bmax=4062.5 [Pflop/s],Total [Pflop/s,RCAL) [Bmax=4062.5 [Pflop/s],FastImg) [Bmax=4062.5 [Pflop/s],ICAL) [Bmax=4062.5 [Pflop/s],DPrepA) [Bmax=4062.5 [Pflop/s],DPrepB) [Bmax=4062.5 [Pflop/s],DPrepC) [Bmax=4062.5 [Pflop/s],DPrepD) [Bmax=4062.5 [Pflop/s],PSS) [Bmax=4062.5 [Pflop/s],PST) [Bmax=4062.5 [Pflop/s]
0,hpso01,512.0,18000000.0,5.0,"",,,,,,,,0.0,0.23262578499016867,,0.016991360465419027,0.02346216824847453,0.23262578499016867,0.004815539714435523,0.02201146394623468,0.044143317140551606,0.018031490480331248,0.024248449692654574,0.0866148458995505,0.009298509867936022,,
1,hpso02a,512.0,18000000.0,5.0,,,,,,,,,0.0,0.21744854576335154,,0.016991360465419027,0.02346216824847453,0.21744854576335154,0.004815539714435523,0.02201146394623468,0.028966077913734484,0.018031490480331248,0.024248449692654574,0.0866148458995505,0.009298509867936022,,
2,hpso02b,512.0,18000000.0,5.0,,,,,,,,,0.0,0.21744854576335154,,0.016991360465419027,0.02346216824847453,0.21744854576335154,0.004815539714435523,0.02201146394623468,0.028966077913734484,0.018031490480331248,0.024248449692654574,0.0866148458995505,0.009298509867936022,,
3,hpso04a,512.0,45900000.0,0.6666666666666666,,,,,,,,,0.0,0.03219936552362082,,0.01703537187466603,0.023494509365723417,0.03219936552362082,0.0014588863489251762,0.006745089808972224,,,,,,0.00050088,
4,hpso05a,512.0,15480000.0,0.6666666666666666,,,,,,,,,0.0,0.03169876102362082,,0.01703537187466603,0.023494509365723417,0.03169876102362082,0.0014588863489251762,0.006745089808972224,,,,,,,2.755e-07
