,hpso,Image Spectral Fitting ,IFFT,Reprojection Predict,Reprojection,Subtract Image Component ,Phase Rotation Predict ,Degrid,Visibility Weighting ,Phase Rotation ,Identify Component ,Gridding Kernel Update ,Subtract Visibility ,Source Find ,Correct ,DFT ,Solv,Flag ,Average,Receive,Demix,FFT,Grid ,Degridding Kernel Update
DPrepB,hpso22,,0.015030300582463,0.008970630133356,0.044853150666782,0.002564437486111,0.0,0.066139610137342,0.000110438675181,0.0,0.001108329690973,0.007816851913224,0.000325487393084,,0.005207798289345,2.7380863044215,,0.04540549133523,,,,0.075151502912313,0.066139610137342,0.007816851913224
FastImg,hpso22,,0.028215875879241,,,,0.0,0.000326184110363,7.5723931635609e-06,0.0,,3.77439225789849e-05,1.91590963105854e-05,,7.66363852423414e-05,0.322342802380392,,0.002672693935327,,,,0.028215875879241,0.000326184110363,3.77439225789849e-05
ICAL,hpso22,,0.124271716856962,0.0770482529083,0.01540965058166,4.19635225e-05,0.22774284288,0.196593481610088,0.000721409310302,0.22774284288,0.000270297875303,0.057048944777568,0.0006506938368,1.875e-12,0.0104111013888,5.47380918822034,,0.0907717902336,,,,0.024854343371392,0.196593481610088,0.057048944777568
Ingest,hpso22,,,,,,,,,,,,,,,,,0.010152151800686,0.000292148253257,0.000146130412343,0.59306998478112,,,
RCAL,hpso22,,0.013807968539663,0.008560916989811,0.001712183397962,,0.02530476032,0.021843720178899,8.01565900335073e-05,0.02530476032,,0.006338771641952,7.22993152e-05,,0.0011567890432,0.608201020913371,,0.0100857544704,,,,0.002761593707932,0.021843720178899,0.006338771641952
DPrepA,hpso27and33,,0.00338828722494,0.000203334283023,0.000203334283023,0.000166341890991,0.0,0.006354920841454,5.80980526917906e-06,0.0,8.59187060768839e-05,0.001590564676324,1.40120306374207e-05,,0.000224192490199,0.283912920946397,,0.00195467827392,,,,0.00338828722494,0.006354920841454,0.001590564676324
DPrepB,hpso27and33,,0.003160888723188,0.000406668566045,0.001423339981159,0.116439323693694,0.0,0.003915248028045,1.16196105383581e-05,0.0,0.030071547126909,0.005794257658548,2.80240612748414e-05,,0.000448384980397,0.283912920946397,,0.00390935654784,,,,0.011063110531158,0.003915248028045,0.005794257658548
FastImg,hpso27and33,,0.001100912200359,,,,0.0,3.69893538412072e-05,8.85706614451606e-07,0.0,,3.49940841815091e-05,2.13615776451914e-06,,8.54463105807657e-06,0.043283004884908,,0.00029799400815,,,,0.001100912200359,3.69893538412072e-05,3.49940841815091e-05
ICAL,hpso27and33,,0.004811963869306,0.000332728826764,6.65457653528981e-05,0.002721958216216,0.0,0.002208174746028,9.50695407683846e-06,0.0,0.000682737721802,0.002839723497397,2.29287774066884e-05,1.21621621621622e-10,0.000366860438507,0.232292389865234,,0.003198564448233,,,,0.000962392773861,0.002208174746028,0.002839723497397
Ingest,hpso27and33,,,,,,,,,,,,,,,,,0.003243257780798,9.33311591596491e-05,4.66871902029638e-05,0.189469767145943,,,
RCAL,hpso27and33,,0.004468098033908,0.000388094903538,7.76189807076204e-05,,0.001540778308695,0.002175789697106,1.02212713732399e-05,0.001540778308695,,0.003555070493272,6.87847459238878e-06,,0.000110055593478,0.069686109876368,,0.000959547205638,,,,0.000893619606782,0.002175789697106,0.003555070493272
DPrepB,hpso32,,0.001662599091331,9.20745906185576e-05,0.000322261067165,0.003263829527778,0.0,0.001602518595532,6.17810339580879e-06,0.0,0.001656328481098,0.003592009810972,1.21555869179631e-05,,0.000194489390687,0.263706247516578,,0.001695704375056,,,,0.005819096819659,0.001602518595532,0.003592009810972
FastImg,hpso32,,0.000477854162694,,,,0.0,3.92704692251077e-05,9.41844707702347e-07,0.0,,6.46775569912737e-05,1.85313215846625e-06,,7.41252863386501e-06,0.040202298001693,,0.000258511936106,,,,0.000477854162694,3.92704692251077e-05,6.46775569912737e-05
ICAL,hpso32,,0.004500241584515,0.000150667511921,3.01335023842552e-05,0.000305189254545,0.0,0.002099096163608,1.01096237385962e-05,0.0,7.64114556908494e-05,0.00430290296514,1.98909604112123e-05,6.81818181818182e-12,0.000318255366579,0.215759657059018,,0.002774788977364,,,,0.000900048316903,0.002099096163608,0.00430290296514
Ingest,hpso32,,,,,,,,,,,,,,,,,0.002030627302214,5.84353180493174e-05,2.92321335375476e-05,0.11863071966874,,,
RCAL,hpso32,,0.00410144102308,0.000175738585905,3.51477171809953e-05,,0.00133662651832,0.002114025029522,1.07893697609576e-05,0.00133662651832,,0.005277390748512,5.96708267107144e-06,,9.54733227371431e-05,0.064725668551804,,0.000832408032614,,,,0.000820288204616,0.002114025029522,0.005277390748512
DPrepA,hpso37a,,0.047138398240232,0.004684821880844,0.004684821880844,5.39881576023392e-06,0.110642685821476,0.092715964695017,8.18035417811293e-05,0.022128537164295,2.63494173600193e-05,0.013229956553157,0.000175623310828,,0.002809972973244,2.95776803289659,,0.02449945186047,,,,0.047138398240232,0.092715964695017,0.013229956553157
DPrepB,hpso37a,,0.042652734338687,0.009369643761688,0.032793753165908,0.003779171032164,0.044257074328591,0.060352407367575,0.000165234779273,0.044257074328591,0.009222296076007,0.051372167949942,0.000351246621655,,0.005619945946488,2.95776803289659,,0.04899890372094,,,,0.149284570185403,0.060352407367575,0.051372167949942
FastImg,hpso37a,,0.02016995124009,,,,0.0,0.001009327708068,1.07632784009564e-05,0.0,,8.39303300866339e-05,2.06753488633261e-05,,8.27013954533045e-05,0.348204834817814,,0.002884211166434,,,,0.02016995124009,0.001009327708068,8.39303300866339e-05
ICAL,hpso37a,,0.272048890738406,0.024838073826439,0.004967614765288,8.83442578947368e-05,0.115872595755284,0.132088925888332,0.000426671283491,0.115872595755284,0.000358823977594,0.070227460970695,0.000517288373908,3.94736842105263e-12,0.00827661398252,4.35596792054967,,0.072161728160099,,,,0.054409778147681,0.132088925888332,0.070227460970695
Ingest,hpso37a,,,,,,,,,,,,,,,,,0.010141998580947,0.000291856074272,0.00014598432285,0.592476852409376,,,
RCAL,hpso37a,,0.068012220353924,0.00620951845661,0.001241903691322,,0.036402040308654,0.03302223227414,0.000106667820873,0.036402040308654,,0.017556865839023,7.22262704536792e-05,,0.001155620327259,0.608201020913371,,0.010075564728288,,,,0.013602444070785,0.03302223227414,0.017556865839023
DPrepA,hpso37b,,0.047138397252802,0.004684821880844,0.004684821880844,2.56443748611111e-06,0.110642685821476,0.092715965518233,8.18035417811293e-05,0.022128537164295,1.25159732460092e-05,0.013229956717372,0.000175623310828,,0.002809972973244,2.95776803289659,,0.02449945186047,,,,0.047138397252802,0.092715965518233,0.013229956717372
DPrepB,hpso37b,,0.042652735004498,0.009369643761688,0.032793753165908,0.001795106240278,0.044257074328591,0.060352406634784,0.000165234779273,0.044257074328591,0.004380590636103,0.051372167184659,0.000351246621655,,0.005619945946488,2.95776803289659,,0.04899890372094,,,,0.149284572515742,0.060352406634784,0.051372167184659
FastImg,hpso37b,,0.02016995124009,,,,0.0,0.001009327708068,1.07632784009564e-05,0.0,,8.39303300866339e-05,2.06753488633261e-05,,8.27013954533045e-05,0.348204834817814,,0.002884211166434,,,,0.02016995124009,0.001009327708068,8.39303300866339e-05
ICAL,hpso37b,,0.61211000397931,0.055885666109487,0.011177133221897,4.19635225e-05,0.327618362777889,0.297200083311414,0.000960010387854,0.327618362777889,0.000383493126053,0.158011787230658,0.000650036434083,1.875e-12,0.01040058294533,5.47380918822034,,0.090680082554594,,,,0.122422000795862,0.297200083311414,0.158011787230658
Ingest,hpso37b,,,,,,,,,,,,,,,,,0.010141998580947,0.000291856074272,0.00014598432285,0.592476852409376,,,
RCAL,hpso37b,,0.068012220353924,0.00620951845661,0.001241903691322,,0.036402040308654,0.03302223227414,0.000106667820873,0.036402040308654,,0.017556865839023,7.22262704536792e-05,,0.001155620327259,0.608201020913371,,0.010075564728288,,,,0.013602444070785,0.03302223227414,0.017556865839023
DPrepA,hpso37c,,0.047138397252802,0.004684821880844,0.004684821880844,2.56443748611111e-06,0.110642685821476,0.092715965518233,8.18035417811293e-05,0.022128537164295,1.25159732460092e-05,0.013229956717372,0.000175623310828,,0.002809972973244,2.95776803289659,,0.02449945186047,,,,0.047138397252802,0.092715965518233,0.013229956717372
DPrepB,hpso37c,,0.042652735004498,0.009369643761688,0.032793753165908,0.001795106240278,0.044257074328591,0.060352406634784,0.000165234779273,0.044257074328591,0.004380590636103,0.051372167184659,0.000351246621655,,0.005619945946488,2.95776803289659,,0.04899890372094,,,,0.149284572515742,0.060352406634784,0.051372167184659
FastImg,hpso37c,,0.02016995124009,,,,0.0,0.001009327708068,1.07632784009564e-05,0.0,,8.39303300866339e-05,2.06753488633261e-05,,8.27013954533045e-05,0.348204834817814,,0.002884211166434,,,,0.02016995124009,0.001009327708068,8.39303300866339e-05
ICAL,hpso37c,,0.61211000397931,0.055885666109487,0.011177133221897,4.19635225e-05,0.327618362777889,0.297200083311414,0.000960010387854,0.327618362777889,0.000383493126053,0.158011787230658,0.000650036434083,1.875e-12,0.01040058294533,5.47380918822034,,0.090680082554594,,,,0.122422000795862,0.297200083311414,0.158011787230658
Ingest,hpso37c,,,,,,,,,,,,,,,,,0.010141998580947,0.000291856074272,0.00014598432285,0.592476852409376,,,
RCAL,hpso37c,,0.068012220353924,0.00620951845661,0.001241903691322,,0.036402040308654,0.03302223227414,0.000106667820873,0.036402040308654,,0.017556865839023,7.22262704536792e-05,,0.001155620327259,0.608201020913371,,0.010075564728288,,,,0.013602444070785,0.03302223227414,0.017556865839023
DPrepA,hpso38a,,0.044533822188874,0.004698901498425,0.004698901498425,2.56443748611111e-06,0.0,0.080240968258394,6.21968959841189e-05,0.0,2.26115655522738e-06,0.002180784869118,0.000183537849381,,0.002936605590099,3.08793816541979,,0.025603529988679,,,,0.044533822188874,0.080240968258394,0.002180784869118
DPrepB,hpso38a,,0.015777565427621,0.00939780299685,0.046989014984248,0.002564437486111,0.0,0.087238512606232,0.000124393791968,0.0,0.001130578277614,0.010627981861734,0.000367075698762,,0.005873211180199,3.08793816541979,,0.051207059977358,,,,0.078887827138106,0.087238512606232,0.010627981861734
FastImg,hpso38a,,0.029621414841439,,,,0.0,0.0003729525381,8.53993524696411e-06,0.0,,4.24628647065603e-05,2.1607100475328e-05,,8.64284019013119e-05,0.363529323389007,,0.003014190516308,,,,0.029621414841439,0.0003729525381,4.24628647065603e-05
ICAL,hpso38a,,0.057038729530421,0.035874318814446,0.007174863762889,4.19635225e-05,0.121094533876611,0.088120178388312,0.000364694015232,0.121094533876611,0.00017159099821,0.033609047848562,0.000540600597663,1.875e-12,0.008649609562615,4.54767565219325,,0.07541378337405,,,,0.011407745906084,0.088120178388312,0.033609047848562
Ingest,hpso38a,,,,,,,,,,,,,,,,,0.010152151800686,0.000292148253257,0.000146130412343,0.59306998478112,,,
RCAL,hpso38a,,0.014495586802213,0.008968579703612,0.001793715940722,,0.02530476032,0.026957439842347,9.04183759500118e-05,0.02530476032,,0.007830678774398,7.22993152e-05,,0.0011567890432,0.608201020913371,,0.0100857544704,,,,0.002899117360443,0.026957439842347,0.007830678774398
DPrepA,hpso38b,,0.044533822188874,0.004698901498425,0.004698901498425,2.56443748611111e-06,0.0,0.080240968258394,6.21968959841189e-05,0.0,2.26115655522738e-06,0.002180784869118,0.000183537849381,,0.002936605590099,3.08793816541979,,0.025603529988679,,,,0.044533822188874,0.080240968258394,0.002180784869118
DPrepB,hpso38b,,0.015777565427621,0.00939780299685,0.046989014984248,0.002564437486111,0.0,0.087238512606232,0.000124393791968,0.0,0.001130578277614,0.010627981861734,0.000367075698762,,0.005873211180199,3.08793816541979,,0.051207059977358,,,,0.078887827138106,0.087238512606232,0.010627981861734
FastImg,hpso38b,,0.029621414841439,,,,0.0,0.0003729525381,8.53993524696411e-06,0.0,,4.24628647065603e-05,2.1607100475328e-05,,8.64284019013119e-05,0.363529323389007,,0.003014190516308,,,,0.029621414841439,0.0003729525381,4.24628647065603e-05
ICAL,hpso38b,,0.130460281219916,0.080717217332504,0.016143443466501,4.19635225e-05,0.22774284288,0.242616958581123,0.00081376538355,0.22774284288,0.000270680059097,0.070476108969579,0.0006506938368,1.875e-12,0.0104111013888,5.47380918822034,,0.0907717902336,,,,0.026092056243983,0.242616958581123,0.070476108969579
Ingest,hpso38b,,,,,,,,,,,,,,,,,0.010152151800686,0.000292148253257,0.000146130412343,0.59306998478112,,,
RCAL,hpso38b,,0.014495586802213,0.008968579703612,0.001793715940722,,0.02530476032,0.026957439842347,9.04183759500118e-05,0.02530476032,,0.007830678774398,7.22993152e-05,,0.0011567890432,0.608201020913371,,0.0100857544704,,,,0.002899117360443,0.026957439842347,0.007830678774398
