Telescope,Pipeline,Data Rate [Gbit/s],Daily Growth [TB/day],Yearly Growth [PB/year],5-year Growth [PB/(5 year)]
SKA1_Low,DPrepA,0.01975595696993094,0.21336433527525414,0.07787798237546777,0.38938991187733885
SKA1_Low,DPrepB,0.9877978484965428,10.668216763762663,3.893899118773372,19.46949559386686
SKA1_Low,DPrepC,2.963393545489631,32.004650291288016,11.681697356320127,58.40848678160064
SKA1_Low,DPrepD,42.7989135775351,462.2282666373791,168.71331732264335,843.5665866132167
SKA1_Low,PSS,0.284723744149766,3.075016436817472,1.1223809994383773,5.611904997191886
SKA1_Low,PST,0.34574151711950074,3.734008384890608,1.362913060485072,6.81456530242536
SKA1_Low,47.40032618976047,511.9235228494131,186.85208584003578,934.2604292001789
SKA1_Mid,DPrepA,0.15048422453938853,1.6252296250253961,0.5932088131342695,2.9660440656713476
SKA1_Mid,DPrepB,27.589614521376777,297.9678368308692,108.75826044326725,543.7913022163362
SKA1_Mid,DPrepC,0.45247067038369304,4.886683240143885,1.7836393826525179,8.91819691326259
SKA1_Mid,PSS,0.09621579057591623,1.0391305382198952,0.3792826464502617,1.8964132322513085
SKA1_Mid,PST,0.14391513452565446,1.5542834528770684,0.56731346030013,2.83656730150065
SKA1_Mid,SinglePulse,0.0070606073298429325,0.07625455916230367,0.027832914094240838,0.13916457047120417
SKA1_Mid,28.439760948731276,307.1494182462978,112.10953765989869,560.5476882994934
